OUT,Mn,Mo,C,Al,N,Cr,P,Cu,S,Si,Ni
83,0.57,0.5,0.13,0.015,0.0066,1.28,0.011,0.08,0.015,0.64,0.03
86,0.58,0.5,0.13,0.003,0.0095,1.24,0.022,0.03,0.013,0.66,0.03
82,0.59,0.55,0.14,0.017,0.0061,1.26,0.013,0.08,0.013,0.63,0.03
86,0.56,0.52,0.17,0.026,0.0108,1.27,0.021,0.15,0.016,0.6,0.17
88,0.53,0.505,0.15,0.004,0.0078,1.26,0.007,0.08,0.008,0.6,0.06
82,0.55,0.54,0.12,0.019,0.0049,1.42,0.009,0.04,0.006,0.65,0.06
84,0.48,0.96,0.12,0.014,0.0096,2,0.013,0.08,0.006,0.26,0.08
88,0.48,0.99,0.12,0.017,0.0095,2.2,0.015,0.07,0.007,0.29,0.05
92,0.44,0.91,0.13,0.017,0.0108,2.37,0.017,0.05,0.01,0.3,0.09
94,0.61,0.96,0.15,0.012,0.0086,2.35,0.015,0.02,0.015,0.27,0.32
86,0.63,0.97,0.15,0.01,0.0083,2.23,0.015,0.2,0.016,0.18,0.24
79,0.59,0.9,0.12,0.008,0.009,2.09,0.02,0.22,0.019,0.23,0.27
